"filename", "language", "Python", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"f:\CapstoneP\Project\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"f:\CapstoneP\Project\cleardb.py", "Python", 29, 0, 0, 0, 5, 8, 42
"f:\CapstoneP\Project\core\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"f:\CapstoneP\Project\core\settings.py", "Python", 77, 0, 0, 0, 19, 45, 141
"f:\CapstoneP\Project\core\urls.py", "Python", 24, 0, 0, 0, 1, 4, 29
"f:\CapstoneP\Project\core\wsgi.py", "Python", 10, 0, 0, 0, 0, 7, 17
"f:\CapstoneP\Project\manage.py", "Python", 13, 0, 0, 0, 1, 2, 16
"f:\CapstoneP\Project\migrate database.py", "Python", 52, 0, 0, 0, 11, 14, 77
"f:\CapstoneP\Project\projects\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"f:\CapstoneP\Project\projects\admin.py", "Python", 42, 0, 0, 0, 10, 9, 61
"f:\CapstoneP\Project\projects\apps.py", "Python", 3, 0, 0, 0, 0, 3, 6
"f:\CapstoneP\Project\projects\forms.py", "Python", 40, 0, 0, 0, 0, 10, 50
"f:\CapstoneP\Project\projects\migrations\0001_initial.py", "Python", 27, 0, 0, 0, 1, 7, 35
"f:\CapstoneP\Project\projects\migrations\0002_auto_20241015_0707.py", "Python", 34, 0, 0, 0, 1, 6, 41
"f:\CapstoneP\Project\projects\migrations\0003_remove_project_project_images.py", "Python", 11, 0, 0, 0, 1, 6, 18
"f:\CapstoneP\Project\projects\migrations\0004_auto_20241015_0756.py", "Python", 34, 0, 0, 0, 1, 6, 41
"f:\CapstoneP\Project\projects\migrations\0005_auto_20241015_0802.py", "Python", 24, 0, 0, 0, 1, 6, 31
"f:\CapstoneP\Project\projects\migrations\0006_auto_20241015_0826.py", "Python", 12, 0, 0, 0, 1, 6, 19
"f:\CapstoneP\Project\projects\migrations\0007_auto_20241015_1517.py", "Python", 19, 0, 0, 0, 1, 6, 26
"f:\CapstoneP\Project\projects\migrations\0008_auto_20241015_2314.py", "Python", 26, 0, 0, 0, 1, 6, 33
"f:\CapstoneP\Project\projects\migrations\0009_profile.py", "Python", 18, 0, 0, 0, 1, 6, 25
"f:\CapstoneP\Project\projects\migrations\0010_auto_20241119_2104.py", "Python", 18, 0, 0, 0, 1, 6, 25
"f:\CapstoneP\Project\projects\migrations\0011_project_github_link.py", "Python", 12, 0, 0, 0, 1, 6, 19
"f:\CapstoneP\Project\projects\migrations\0012_auto_20241120_1247.py", "Python", 18, 0, 0, 0, 1, 6, 25
"f:\CapstoneP\Project\projects\migrations\0013_auto_20241120_1402.py", "Python", 22, 0, 0, 0, 1, 6, 29
"f:\CapstoneP\Project\projects\migrations\0014_auto_20241120_2230.py", "Python", 18, 0, 0, 0, 1, 6, 25
"f:\CapstoneP\Project\projects\migrations\0015_project_views.py", "Python", 12, 0, 0, 0, 1, 6, 19
"f:\CapstoneP\Project\projects\migrations\0016_project_status.py", "Python", 12, 0, 0, 0, 1, 6, 19
"f:\CapstoneP\Project\projects\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"f:\CapstoneP\Project\projects\models.py", "Python", 54, 0, 0, 0, 1, 13, 68
"f:\CapstoneP\Project\projects\signals.py", "Python", 0, 0, 0, 0, 0, 1, 1
"f:\CapstoneP\Project\projects\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"f:\CapstoneP\Project\projects\urls.py", "Python", 19, 0, 0, 0, 0, 2, 21
"f:\CapstoneP\Project\projects\views.py", "Python", 228, 0, 0, 0, 27, 46, 301
"f:\CapstoneP\Project\static\css\style.css", "CSS", 0, 0, 0, 765, 16, 149, 930
"f:\CapstoneP\Project\templates\all_projects.html", "HTML", 0, 0, 97, 0, 6, 7, 110
"f:\CapstoneP\Project\templates\base.html", "HTML", 0, 0, 25, 0, 2, 5, 32
"f:\CapstoneP\Project\templates\create_project.html", "HTML", 0, 0, 199, 0, 9, 33, 241
"f:\CapstoneP\Project\templates\delete_project_confirm.html", "HTML", 0, 0, 10, 0, 1, 3, 14
"f:\CapstoneP\Project\templates\edit_project.html", "HTML", 0, 0, 52, 0, 4, 6, 62
"f:\CapstoneP\Project\templates\landing.html", "HTML", 0, 0, 301, 0, 19, 28, 348
"f:\CapstoneP\Project\templates\login.html", "HTML", 0, 0, 38, 0, 3, 3, 44
"f:\CapstoneP\Project\templates\my_projects.html", "HTML", 0, 0, 104, 0, 2, 8, 114
"f:\CapstoneP\Project\templates\nav.html", "HTML", 0, 0, 21, 0, 1, 2, 24
"f:\CapstoneP\Project\templates\profile.html", "HTML", 0, 0, 41, 0, 0, 3, 44
"f:\CapstoneP\Project\templates\project_detail.html", "HTML", 0, 0, 101, 0, 11, 9, 121
"f:\CapstoneP\Project\templates\signup.html", "HTML", 0, 0, 70, 0, 0, 9, 79
"Total", "-", 909, 2, 1059, 765, 166, 532, 3433